_id,Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
1,2012,S92000003,d,0-44 years,"",Males,"",Cerebrovascular Disease,23,"",1.57260763644593,"",1.7323151051422612
2,2012,S92000003,d,0-44 years,"",Females,"",Cerebrovascular Disease,22,"",1.49820079704282,"",1.4721797930184084
3,2012,S92000003,d,45-64 years,"",Males,"",Cerebrovascular Disease,166,"",23.321780154289,"",23.787826444239123
4,2012,S92000003,d,45-64 years,"",Females,"",Cerebrovascular Disease,135,"",18.1181058929475,"",18.234683458918433
5,2012,S92000003,d,65-74 years,"",Males,"",Cerebrovascular Disease,274,"",114.654425702677,"",119.31711979179364
6,2012,S92000003,d,65-74 years,"",Females,"",Cerebrovascular Disease,276,"",102.866471120984,"",105.7192063335165
7,2012,S92000003,d,75plus years,"",Males,"",Cerebrovascular Disease,1223,"",745.772633864054,"",852.250130663248
8,2012,S92000003,d,75plus years,"",Females,"",Cerebrovascular Disease,2360,"",927.446927242575,"",908.209782454995
9,2012,S12000005,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
10,2012,S12000005,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
11,2012,S12000005,"",45-64 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
12,2012,S12000005,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,52.546985930736895
13,2012,S12000005,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,194.19691542944872
14,2012,S12000005,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,32.55497351208973
15,2012,S12000005,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,867.2888453933151
16,2012,S12000005,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,851.6854714482274
17,2012,S12000006,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
18,2012,S12000006,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
19,2012,S12000006,"",45-64 years,"",Males,"",Cerebrovascular Disease,,c,,c,26.877108391247955
20,2012,S12000006,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,21.08930349538284
21,2012,S12000006,"",65-74 years,"",Males,"",Cerebrovascular Disease,,c,,c,114.45910310386272
22,2012,S12000006,"",65-74 years,"",Females,"",Cerebrovascular Disease,,c,,c,64.91778609704177
23,2012,S12000006,"",75plus years,"",Males,"",Cerebrovascular Disease,,c,,c,995.65866155687
24,2012,S12000006,"",75plus years,"",Females,"",Cerebrovascular Disease,,c,,c,1015.4664592240737
25,2012,S12000008,"",0-44 years,"",Males,"",Cerebrovascular Disease,0,"",0,"",0
26,2012,S12000008,"",0-44 years,"",Females,"",Cerebrovascular Disease,0,"",0,"",0
27,2012,S12000008,"",45-64 years,"",Males,"",Cerebrovascular Disease,,c,,c,29.59020890812358
28,2012,S12000008,"",45-64 years,"",Females,"",Cerebrovascular Disease,,c,,c,16.972123145549936
